{,#N/A,German,Spanish,Brazilian Portuguese,Russian,Japanese,Simplified Chinese,Italian,French,Korean,Turkish,Hungarian
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"// content.json  (yes, the main & the only one content.json file)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
// Optional content for Eleanor,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"config.section.Optional content for Eleanor.name: ""Optional content for Eleanor"",",Optional content for Eleanor,Optionaler Inhalt für Eleanor,Contenido opcional para Eleanor,Conteúdo opcional para Eleanor,Дополнительный контент для Элеоноры,エレノアのオプション コンテンツ,埃莉诺的可选内容,Contenuti opzionali per Eleanor,Contenu facultatif pour Eleanor,Eleanor의 선택 콘텐츠,Eleanor için isteğe bağlı içerik,Választható tartalom Eleanor számára
"config.section.Optional content for Eleanor.description: ""Fully optional content for NPC Eleanor that can be turned on or off at the player's wish."",",Fully optional content for NPC Eleanor that can be turned on or off at the player's wish.,"Völlig optionaler Inhalt für NPC Eleanor, der nach Wunsch des Spielers ein- oder ausgeschaltet werden kann.",Contenido totalmente opcional para NPC Eleanor que se puede activar o desactivar según lo desee el jugador.,Conteúdo totalmente opcional para a NPC Eleanor que pode ser ativado ou desativado conforme a vontade do jogador.,"Полностью необязательный контент для NPC Элеоноры, который можно включить или выключить по желанию игрока.",NPC エレノアの完全にオプションのコンテンツで、プレイヤーの希望に応じてオンまたはオフにすることができます。,NPC Eleanor 的完全可选内容可以根据玩家的意愿打开或关闭。,Contenuti completamente opzionali per l'NPC Eleanor che possono essere attivati ​​o disattivati ​​a piacimento del giocatore.,Contenu entièrement facultatif pour le PNJ Eleanor qui peut être activé ou désactivé selon le souhait du joueur.,플레이어의 희망에 따라 켜거나 끌 수 있는 NPC Eleanor의 완전 선택 콘텐츠입니다.,NPC Eleanor için oyuncunun isteğine göre açılıp kapatılabilen tamamen isteğe bağlı içerik.,"Teljesen opcionális tartalom az NPC Eleanorhoz, amely a játékos kívánságára be- vagy kikapcsolható."
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"config.Festivals.name: ""Festivals"",",Festivals,Feste,festivales,Festivais,Фестивали,祭り,节日,Festival,Fêtes,축제,Festivaller,Fesztiválok
"config.Festivals.values.true: ""true"",",true,WAHR,verdadero,verdadeiro,истинный,真実,真的,VERO,vrai,진실,doğru,igaz
"config.Festivals.values.false: ""false"",",false,FALSCH,FALSO,falso,ЛОЖЬ,間違い,错误的,falso,FAUX,거짓,YANLIŞ,hamis
